"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-14,836,890
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-15,766,911
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-16,827,1030
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-17,724,905
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-18,729,792
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-19,1183,735
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-20,711,704
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-21,778,801
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-22,730,836
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-23,800,776
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-24,639,838
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-25,539,744
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-26,686,856
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-27,684,794
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-28,757,747
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-29,869,877
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-30,896,880
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2015-12-31,812,696
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-01,728,960
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-02,825,924
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-03,892,886
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-04,927,1063
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-05,853,970
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-06,919,995
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-07,695,1030
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-08,759,1068
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-09,630,915
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-10,815,1200
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-11,821,1294
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-12,1075,1229
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-13,962,1246
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-14,4862,1144
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-15,2309,1061
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-16,1360,932
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-17,901,958
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-18,935,1145
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-19,949,1050
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-20,1011,1230
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-21,877,1155
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-22,1095,1239
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-23,1177,1133
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-24,1300,1502
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-25,892,1273
